Revenue type,Date,Planned revenue volume,Actual revenue volume,Revenue completion rate,global_id,Quarter
Налог на игорный бизнес,2025-04-01,0.2,0.1,61.8,2755747667,2025Q2
Сборы за пользование объектами животного мира и за пользование объектами водных биологических ресурсов,2025-04-01,0.01,0.002,14.6,2755747674,2025Q2
Платежи в целях возмещения причиненного ущерба (убытков),2025-04-01,0.1,-0.002,-1.4,2755747645,2025Q2
"Средства, получаемые от передачи имущества, находящегося в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных), в залог, в доверительное управление",2025-04-01,0.1,0.0,0.0,2755751119,2025Q2
Торговый сбор,2025-04-01,11.7,2.6,22.1,2755747643,2025Q2
"Доходы от приватизации имущества, находящегося в государственной и муниципальной собственности",2025-04-01,16.1,4.5,28.0,2755747622,2025Q2
Налог на доходы физических лиц,2025-04-01,2329.9,423.1,18.2,2755747621,2025Q2
"Государственная пошлина за государственную регистрацию, а также за совершение прочих юридически значимых действий",2025-04-01,2.0,0.6,29.3,2755747620,2025Q2
"Плата за увеличение площади земельных участков, находящихся в частной собственности, в результате перераспределения таких земельных участков и земель (или) земельных участков, находящихся в государственной или муниципальной собственности",2025-04-01,0.0,0.4,0.0,2755747619,2025Q2
Налог на прибыль организаций,2025-04-01,1581.5,491.6,31.1,2755747618,2025Q2
"Доходы от продажи земельных участков, находящихся в государственной и муниципальной собственности",2025-04-01,5.6,0.8,14.1,2755747617,2025Q2
"ЗАДОЛЖЕННОСТЬ И ПЕРЕРАСЧЕТЫ ПО ОТМЕНЕННЫМ НАЛОГАМ, СБОРАМ И ИНЫМ ОБЯЗАТЕЛЬНЫМ ПЛАТЕЖАМ",2025-04-01,0.0,-0.0002,0.0,2755747623,2025Q2
"Государственная пошлина за совершение действий, связанных с приобретением гражданства Российской Федерации или выходом из гражданства Российской Федерации, а также с въездом в Российскую Федерацию или выездом из Российской Федерации",2025-04-01,0.6,0.1,18.5,2755747616,2025Q2
"Доходы от реализации имущества, находящегося в государственной и муниципальной собственности (за исключением движимого имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2025-04-01,9.1,2.5,26.9,2755747614,2025Q2
"Государственная пошлина за государственную регистрацию актов гражданского состояния и другие юридически значимые действия, совершаемые органами записи актов гражданского состояния и иными уполномоченными органами (за исключением консульских учреждений Российской Федерации)",2025-04-01,0.04,0.02,62.4,2755747613,2025Q2
Налоговые доходы,2025-04-01,4661.3,1055.1,22.6,2755747612,2025Q2
Доходы от продажи квартир,2025-04-01,5.6,1.0,17.6,2755747611,2025Q2
"Государственная пошлина по делам, рассматриваемым в судах общей юрисдикции, мировыми судьями",2025-04-01,3.2,2.0,62.7,2755747610,2025Q2
"Доходы, всего",2025-04-01,5160.5,1227.8,23.8,2755747609,2025Q2
"НАЛОГИ НА ПРИБЫЛЬ, ДОХОДЫ",2025-04-01,3911.4,914.6,23.4,2755747615,2025Q2
"НАЛОГИ НА ТОВАРЫ (РАБОТЫ, УСЛУГИ), РЕАЛИЗУЕМЫЕ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ",2025-04-01,73.6,14.9,20.2,2755747624,2025Q2
"ДОХОДЫ ОТ ИСПОЛЬЗОВАНИЯ ИМУЩЕСТВА, НАХОДЯЩЕГОСЯ В ГОСУДАРСТВЕННОЙ И МУНИЦИПАЛЬНОЙ СОБСТВЕННОСТИ",2025-04-01,290.2,88.3,30.4,2755747644,2025Q2
Налоги на имущество,2025-04-01,0.0,-0.0004,0.0,2755747626,2025Q2
"Штрафы, неустойки, пени, уплаченные в соответствии с законом или договором в случае неисполнения или ненадлежащего исполнения обязательств перед государственным (муниципальным) органом, органом управления государственным внебюджетным фондом, казенным учреждением, Центральным банком Российской Федерации, иной организацией, действующей от имени Российской Федерации",2025-04-01,4.1,0.9,22.7,2755747642,2025Q2
"Налог, взимаемый в связи с применением патентной системы налогообложения",2025-04-01,11.4,4.8,41.8,2755747641,2025Q2
Неналоговые доходы,2025-04-01,460.0,127.4,27.7,2755747640,2025Q2
"Административные штрафы, установленные законами субъектов Российской Федерации об административных правонарушениях",2025-04-01,14.1,3.5,24.6,2755747639,2025Q2
АДМИНИСТРАТИВНЫЕ ПЛАТЕЖИ И СБОРЫ,2025-04-01,0.2,0.04,16.4,2755747625,2025Q2
"Налог, взимаемый в виде стоимости патента в связи с применением упрощенной системы налогообложения",2025-04-01,0.0,0.0002,0.0,2755747637,2025Q2
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях, за административные правонарушения в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, а также за административные правонарушения порядка ценообразования в части регулирования цен на этиловый спирт, алкогольную и спиртосодержащую продукцию",2025-04-01,0.1,0.01,27.8,2755747636,2025Q2
Единый сельскохозяйственный налог,2025-04-01,0.1,0.1,57.4,2755747638,2025Q2
Прочие налоги и сборы (по отмененным местным налогам и сборам),2025-04-01,0.0,1e-05,0.0,2755747634,2025Q2
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях",2025-04-01,25.5,5.6,22.0,2755747633,2025Q2
"Налог, взимаемый в связи с применением упрощенной системы налогообложения",2025-04-01,321.4,41.8,13.0,2755747632,2025Q2
"ШТРАФЫ, САНКЦИИ, ВОЗМЕЩЕНИЕ УЩЕРБА",2025-04-01,60.0,15.7,26.1,2755747631,2025Q2
НАЛОГИ НА СОВОКУПНЫЙ ДОХОД,2025-04-01,362.7,54.2,14.9,2755747630,2025Q2
"Акцизы по подакцизным товарам (продукции), производимым на территории Российской Федерации",2025-04-01,73.6,14.9,20.2,2755747628,2025Q2
"Платежи, взимаемые государственными и муниципальными органами (организациями) за выполнение определенных функций",2025-04-01,0.2,0.04,16.4,2755747627,2025Q2
Единый налог на вмененный доход для отдельных видов деятельности,2025-04-01,0.0,-0.0001,0.0,2755747635,2025Q2
"Средства, получаемые от передачи имущества, находящегося в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных), в залог, в доверительное управление",2025-07-01,0.1,0.1,190.9,2790281814,2025Q3
Невыясненные поступления,2025-07-01,0.0,0.01,0.0,2790281813,2025Q3
Налог на имущество физических лиц,2025-07-01,36.2,2.2,6.2,2790281812,2025Q3
Платежи от государственных и муниципальных унитарных предприятий,2025-07-01,0.1,0.5,464.5,2790281811,2025Q3
НАЛОГИ НА ИМУЩЕСТВО,2025-07-01,307.7,138.4,45.0,2790281810,2025Q3
ПРОЧИЕ НЕНАЛОГОВЫЕ ДОХОДЫ,2025-07-01,57.7,28.5,49.4,2790281809,2025Q3
Торговый сбор,2025-07-01,11.7,7.6,64.4,2790281801,2025Q3
"Доходы от сумм пеней, предусмотренных законодательством Российской Федерации о налогах и сборах, подлежащие зачислению в бюджеты субъектов Российской Федерации по нормативу, установленному Бюджетным кодексом Российской Федерации, распределяемые Федеральным казначейством между бюджетами субъектов Российской Федерации в соответствии с федеральным законом о федеральном бюджете",2025-07-01,16.1,12.7,79.3,2790281807,2025Q3
"Налог, взимаемый в связи с применением специального налогового режима «Автоматизированная упрощенная система налогообложения»",2025-07-01,0.7,0.5,64.8,2790281806,2025Q3
"Доходы, получаемые в виде арендной либо иной платы за передачу в возмездное пользование государственного и муниципального имущества (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2025-07-01,135.0,63.7,47.2,2790281805,2025Q3
Налог на профессиональный доход,2025-07-01,17.4,9.9,56.7,2790281804,2025Q3
"Платежи, уплачиваемые в целях возмещения вреда",2025-07-01,0.03,0.02,66.6,2790281803,2025Q3
Доходы от размещения средств бюджетов,2025-07-01,141.5,114.1,80.7,2790281802,2025Q3
Налог на имущество организаций,2025-07-01,207.6,110.2,53.1,2790281815,2025Q3
"Плата по соглашениям об установлении сервитута в отношении земельных участков, находящихся в государственной или муниципальной собственности",2025-07-01,0.01,0.01,107.0,2790281808,2025Q3
Прочие неналоговые доходы,2025-07-01,57.7,28.5,49.3,2790281816,2025Q3
Платежи при пользовании недрами,2025-07-01,0.0001,0.004,4332.1,2790281825,2025Q3
Транспортный налог,2025-07-01,34.3,6.9,20.2,2790281818,2025Q3
Платежи в целях возмещения причиненного ущерба (убытков),2025-07-01,0.1,0.03,25.3,2790281800,2025Q3
ДОХОДЫ ОТ ПРОДАЖИ МАТЕРИАЛЬНЫХ И НЕМАТЕРИАЛЬНЫХ АКТИВОВ,2025-07-01,36.4,19.9,54.8,2790281833,2025Q3
Доходы от компенсации затрат государства,2025-07-01,13.8,7.5,54.2,2790281832,2025Q3
ГОСУДАРСТВЕННАЯ ПОШЛИНА,2025-07-01,5.9,5.5,93.5,2790281831,2025Q3
Доходы от оказания платных услуг (работ),2025-07-01,1.6,0.8,49.0,2790281830,2025Q3
Сборы за пользование объектами животного мира и за пользование объектами водных биологических ресурсов,2025-07-01,0.01,0.002,17.8,2790281829,2025Q3
ДОХОДЫ ОТ ОКАЗАНИЯ ПЛАТНЫХ УСЛУГ И КОМПЕНСАЦИИ ЗАТРАТ ГОСУДАРСТВА,2025-07-01,15.4,8.2,53.7,2790281828,2025Q3
Налог на добычу полезных ископаемых,2025-07-01,0.0,0.1,0.0,2790281827,2025Q3
"НАЛОГИ, СБОРЫ И РЕГУЛЯРНЫЕ ПЛАТЕЖИ ЗА ПОЛЬЗОВАНИЕ ПРИРОДНЫМИ РЕСУРСАМИ",2025-07-01,0.01,0.1,437.4,2790281826,2025Q3
Земельный налог,2025-07-01,29.3,18.7,63.8,2790281824,2025Q3
Плата за негативное воздействие на окружающую среду,2025-07-01,0.2,0.1,50.1,2790281823,2025Q3
Безвозмездные поступления,2025-07-01,47.3,69.6,147.1,2790281822,2025Q3
Налог на игорный бизнес,2025-07-01,0.2,0.3,142.6,2790281821,2025Q3
ПЛАТЕЖИ ПРИ ПОЛЬЗОВАНИИ ПРИРОДНЫМИ РЕСУРСАМИ,2025-07-01,0.2,0.1,52.5,2790281820,2025Q3
"Прочие неналоговые доходы в части невыясненных поступлений, по которым не осуществлен возврат (уточнение) не позднее трех лет со дня их зачисления на единый счет соответствующего бюджета бюджетной системы Российской Федерации",2025-07-01,0.001,0.0004,66.1,2790281819,2025Q3
"Прочие доходы от использования имущества и прав, находящихся в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2025-07-01,11.5,7.1,61.5,2790281817,2025Q3
"Доходы в виде прибыли, приходящейся на доли в уставных (складочных) капиталах хозяйственных товариществ и обществ, или дивидендов по акциям, принадлежащим Российской Федерации, субъектам Российской Федерации или муниципальным образованиям",2025-07-01,2.0,0.0,0.0,2790281902,2025Q3
"Налог, взимаемый в связи с применением патентной системы налогообложения",2025-07-01,11.4,9.3,81.3,2790281798,2025Q3
"ДОХОДЫ ОТ ИСПОЛЬЗОВАНИЯ ИМУЩЕСТВА, НАХОДЯЩЕГОСЯ В ГОСУДАРСТВЕННОЙ И МУНИЦИПАЛЬНОЙ СОБСТВЕННОСТИ",2025-07-01,290.2,185.5,63.9,2790281796,2025Q3
Налог на доходы физических лиц,2025-07-01,2329.9,950.2,40.8,2790281777,2025Q3
"Доходы от приватизации имущества, находящегося в государственной и муниципальной собственности",2025-07-01,16.1,10.2,63.5,2790281776,2025Q3
Налог на прибыль организаций,2025-07-01,1581.5,863.1,54.6,2790281775,2025Q3
"Государственная пошлина за государственную регистрацию, а также за совершение прочих юридически значимых действий",2025-07-01,2.0,1.0,50.1,2790281774,2025Q3
"Плата за увеличение площади земельных участков, находящихся в частной собственности, в результате перераспределения таких земельных участков и земель (или) земельных участков, находящихся в государственной или муниципальной собственности",2025-07-01,0.0,0.7,0.0,2790281773,2025Q3
"Государственная пошлина за совершение действий, связанных с приобретением гражданства Российской Федерации или выходом из гражданства Российской Федерации, а также с въездом в Российскую Федерацию или выездом из Российской Федерации",2025-07-01,0.6,0.2,38.0,2790281771,2025Q3
"ЗАДОЛЖЕННОСТЬ И ПЕРЕРАСЧЕТЫ ПО ОТМЕНЕННЫМ НАЛОГАМ, СБОРАМ И ИНЫМ ОБЯЗАТЕЛЬНЫМ ПЛАТЕЖАМ",2025-07-01,0.0,-0.0004,0.0,2790281778,2025Q3
"Доходы от продажи земельных участков, находящихся в государственной и муниципальной собственности",2025-07-01,5.6,1.6,28.7,2790281770,2025Q3
Налоговые доходы,2025-07-01,4661.3,2183.5,46.8,2790281768,2025Q3
"Доходы от реализации имущества, находящегося в государственной и муниципальной собственности (за исключением движимого имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2025-07-01,9.1,5.2,56.7,2790281767,2025Q3
"Государственная пошлина по делам, рассматриваемым в судах общей юрисдикции, мировыми судьями",2025-07-01,3.2,4.2,131.0,2790281766,2025Q3
"Доходы, всего",2025-07-01,5168.6,2535.3,49.1,2790281765,2025Q3
Доходы от продажи квартир,2025-07-01,5.6,2.2,40.0,2790281764,2025Q3
"Штрафы, неустойки, пени, уплаченные в соответствии с законом или договором в случае неисполнения или ненадлежащего исполнения обязательств перед государственным (муниципальным) органом, органом управления государственным внебюджетным фондом, казенным учреждением, Центральным банком Российской Федерации, иной организацией, действующей от имени Российской Федерации",2025-07-01,4.1,2.2,54.4,2790281797,2025Q3
"Государственная пошлина за государственную регистрацию актов гражданского состояния и другие юридически значимые действия, совершаемые органами записи актов гражданского состояния и иными уполномоченными органами (за исключением консульских учреждений Российской Федерации)",2025-07-01,0.04,0.05,130.7,2790281769,2025Q3
АДМИНИСТРАТИВНЫЕ ПЛАТЕЖИ И СБОРЫ,2025-07-01,0.2,0.2,91.8,2790281779,2025Q3
"НАЛОГИ НА ПРИБЫЛЬ, ДОХОДЫ",2025-07-01,3911.4,1813.2,46.4,2790281772,2025Q3
"НАЛОГИ НА ТОВАРЫ (РАБОТЫ, УСЛУГИ), РЕАЛИЗУЕМЫЕ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ",2025-07-01,73.6,27.1,36.8,2790281781,2025Q3
Единый сельскохозяйственный налог,2025-07-01,0.1,0.1,66.1,2790281795,2025Q3
Налоги на имущество,2025-07-01,0.0,-0.001,0.0,2790281780,2025Q3
"Административные штрафы, установленные законами субъектов Российской Федерации об административных правонарушениях",2025-07-01,14.1,8.1,57.3,2790281794,2025Q3
Единый налог на вмененный доход для отдельных видов деятельности,2025-07-01,0.0,-0.0001,0.0,2790281793,2025Q3
Неналоговые доходы,2025-07-01,460.0,282.2,61.3,2790281792,2025Q3
"Налог, взимаемый в связи с применением упрощенной системы налогообложения",2025-07-01,321.4,172.1,53.5,2790281790,2025Q3
"Налог, взимаемый в виде стоимости патента в связи с применением упрощенной системы налогообложения",2025-07-01,0.0,0.0002,0.0,2790281789,2025Q3
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях, за административные правонарушения в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, а также за административные правонарушения порядка ценообразования в части регулирования цен на этиловый спирт, алкогольную и спиртосодержащую продукцию",2025-07-01,0.1,0.03,63.5,2790281791,2025Q3
НАЛОГИ НА СОВОКУПНЫЙ ДОХОД,2025-07-01,362.7,199.3,54.9,2790281787,2025Q3
Прочие налоги и сборы (по отмененным местным налогам и сборам),2025-07-01,0.0,1e-05,0.0,2790281786,2025Q3
"ШТРАФЫ, САНКЦИИ, ВОЗМЕЩЕНИЕ УЩЕРБА",2025-07-01,60.0,39.7,66.2,2790281785,2025Q3
"Акцизы по подакцизным товарам (продукции), производимым на территории Российской Федерации",2025-07-01,73.6,27.1,36.8,2790281784,2025Q3
Прочие налоги и сборы (по отмененным налогам и сборам субъектов Российской Федерации),2025-07-01,0.0,-2e-06,0.0,2790281783,2025Q3
"Платежи, взимаемые государственными и муниципальными органами (организациями) за выполнение определенных функций",2025-07-01,0.2,0.2,91.8,2790281782,2025Q3
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях",2025-07-01,25.5,16.6,65.1,2790281788,2025Q3
Невыясненные поступления,2025-10-01,0.0,0.1,0.0,2807627836,2025Q4
НАЛОГИ НА ИМУЩЕСТВО,2025-10-01,307.7,213.0,69.2,2807627831,2025Q4
"Средства, получаемые от передачи имущества, находящегося в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных), в залог, в доверительное управление",2025-10-01,0.1,0.1,190.9,2807627835,2025Q4
Налог на имущество физических лиц,2025-10-01,36.2,9.1,25.2,2807627834,2025Q4
ПРОЧИЕ НЕНАЛОГОВЫЕ ДОХОДЫ,2025-10-01,57.7,40.0,69.4,2807627833,2025Q4
Платежи от государственных и муниципальных унитарных предприятий,2025-10-01,0.1,0.5,464.5,2807627832,2025Q4
"Доходы от сумм пеней, предусмотренных законодательством Российской Федерации о налогах и сборах, подлежащие зачислению в бюджеты субъектов Российской Федерации по нормативу, установленному Бюджетным кодексом Российской Федерации, распределяемые Федеральным казначейством между бюджетами субъектов Российской Федерации в соответствии с федеральным законом о федеральном бюджете",2025-10-01,16.1,18.6,115.8,2807627830,2025Q4
Торговый сбор,2025-10-01,11.7,12.6,107.0,2807627823,2025Q4
"Налог, взимаемый в связи с применением специального налогового режима «Автоматизированная упрощенная система налогообложения»",2025-10-01,0.7,0.8,103.3,2807627828,2025Q4
"Платежи, уплачиваемые в целях возмещения вреда",2025-10-01,0.03,0.03,94.4,2807627827,2025Q4
Налог на профессиональный доход,2025-10-01,17.4,15.3,88.0,2807627826,2025Q4
"Доходы, получаемые в виде арендной либо иной платы за передачу в возмездное пользование государственного и муниципального имущества (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2025-10-01,135.0,99.1,73.4,2807627825,2025Q4
Платежи в целях возмещения причиненного ущерба (убытков),2025-10-01,0.1,0.1,115.3,2807627824,2025Q4
"Прочие доходы от использования имущества и прав, находящихся в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2025-10-01,11.5,10.7,92.8,2807627837,2025Q4
"Плата по соглашениям об установлении сервитута в отношении земельных участков, находящихся в государственной или муниципальной собственности",2025-10-01,0.01,0.02,232.3,2807627829,2025Q4
ДОХОДЫ ОТ ПРОДАЖИ МАТЕРИАЛЬНЫХ И НЕМАТЕРИАЛЬНЫХ АКТИВОВ,2025-10-01,36.4,30.0,82.6,2807627855,2025Q4
ГОСУДАРСТВЕННАЯ ПОШЛИНА,2025-10-01,5.9,8.4,142.2,2807627854,2025Q4
Прочие неналоговые доходы,2025-10-01,57.7,39.9,69.2,2807627839,2025Q4
"Штрафы, неустойки, пени, уплаченные в соответствии с законом или договором в случае неисполнения или ненадлежащего исполнения обязательств перед государственным (муниципальным) органом, органом управления государственным внебюджетным фондом, казенным учреждением, Центральным банком Российской Федерации, иной организацией, действующей от имени Российской Федерации",2025-10-01,4.1,3.0,72.9,2807627822,2025Q4
Доходы от компенсации затрат государства,2025-10-01,13.8,12.1,87.6,2807627853,2025Q4
Сборы за пользование объектами животного мира и за пользование объектами водных биологических ресурсов,2025-10-01,0.01,0.004,28.7,2807627852,2025Q4
Доходы от оказания платных услуг (работ),2025-10-01,1.6,1.2,78.5,2807627851,2025Q4
Налог на добычу полезных ископаемых,2025-10-01,0.0,0.1,0.0,2807627850,2025Q4
ДОХОДЫ ОТ ОКАЗАНИЯ ПЛАТНЫХ УСЛУГ И КОМПЕНСАЦИИ ЗАТРАТ ГОСУДАРСТВА,2025-10-01,15.4,13.3,86.7,2807627849,2025Q4
"НАЛОГИ, СБОРЫ И РЕГУЛЯРНЫЕ ПЛАТЕЖИ ЗА ПОЛЬЗОВАНИЕ ПРИРОДНЫМИ РЕСУРСАМИ",2025-10-01,0.01,0.1,448.9,2807627848,2025Q4
Земельный налог,2025-10-01,29.3,27.6,94.0,2807627847,2025Q4
Платежи при пользовании недрами,2025-10-01,0.0001,0.01,6357.8,2807627846,2025Q4
Безвозмездные поступления,2025-10-01,73.8,99.2,134.4,2807627845,2025Q4
Налог на игорный бизнес,2025-10-01,0.2,0.6,242.7,2807627844,2025Q4
Плата за негативное воздействие на окружающую среду,2025-10-01,0.2,0.1,74.1,2807627843,2025Q4
"Прочие неналоговые доходы в части невыясненных поступлений, по которым не осуществлен возврат (уточнение) не позднее трех лет со дня их зачисления на единый счет соответствующего бюджета бюджетной системы Российской Федерации",2025-10-01,0.001,0.0005,77.3,2807627842,2025Q4
Транспортный налог,2025-10-01,34.3,14.3,41.6,2807627841,2025Q4
ПЛАТЕЖИ ПРИ ПОЛЬЗОВАНИИ ПРИРОДНЫМИ РЕСУРСАМИ,2025-10-01,0.2,0.1,77.6,2807627840,2025Q4
Налог на имущество организаций,2025-10-01,207.6,161.4,77.8,2807627838,2025Q4
Доходы от размещения средств бюджетов,2025-10-01,141.5,184.2,130.2,2807627821,2025Q4
"НАЛОГИ НА ТОВАРЫ (РАБОТЫ, УСЛУГИ), РЕАЛИЗУЕМЫЕ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ",2025-10-01,73.6,48.3,65.6,2807627802,2025Q4
"Административные штрафы, установленные законами субъектов Российской Федерации об административных правонарушениях",2025-10-01,14.1,14.1,100.2,2807627819,2025Q4
"Доходы от приватизации имущества, находящегося в государственной и муниципальной собственности",2025-10-01,16.1,15.5,96.5,2807627798,2025Q4
"ЗАДОЛЖЕННОСТЬ И ПЕРЕРАСЧЕТЫ ПО ОТМЕНЕННЫМ НАЛОГАМ, СБОРАМ И ИНЫМ ОБЯЗАТЕЛЬНЫМ ПЛАТЕЖАМ",2025-10-01,0.0,-0.0005,0.0,2807627797,2025Q4
Налог на прибыль организаций,2025-10-01,1581.5,1230.4,77.8,2807627796,2025Q4
"Плата за увеличение площади земельных участков, находящихся в частной собственности, в результате перераспределения таких земельных участков и земель (или) земельных участков, находящихся в государственной или муниципальной собственности",2025-10-01,0.0,1.2,0.0,2807627795,2025Q4
"Государственная пошлина за государственную регистрацию, а также за совершение прочих юридически значимых действий",2025-10-01,2.0,1.5,73.8,2807627794,2025Q4
"Налог, взимаемый в связи с применением патентной системы налогообложения",2025-10-01,11.4,9.8,86.5,2807627820,2025Q4
Налог на доходы физических лиц,2025-10-01,2329.9,1637.2,70.3,2807627799,2025Q4
"Доходы от продажи земельных участков, находящихся в государственной и муниципальной собственности",2025-10-01,5.6,2.4,43.5,2807627792,2025Q4
Налоговые доходы,2025-10-01,4661.3,3413.7,73.2,2807627790,2025Q4
"Доходы от реализации имущества, находящегося в государственной и муниципальной собственности (за исключением движимого имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2025-10-01,9.1,7.7,84.4,2807627789,2025Q4
"Государственная пошлина за государственную регистрацию актов гражданского состояния и другие юридически значимые действия, совершаемые органами записи актов гражданского состояния и иными уполномоченными органами (за исключением консульских учреждений Российской Федерации)",2025-10-01,0.04,0.1,203.7,2807627788,2025Q4
Доходы от продажи квартир,2025-10-01,5.6,3.2,58.0,2807627787,2025Q4
"Государственная пошлина по делам, рассматриваемым в судах общей юрисдикции, мировыми судьями",2025-10-01,3.2,6.5,200.5,2807627786,2025Q4
"Доходы, всего",2025-10-01,5195.1,3951.9,76.1,2807627785,2025Q4
"Государственная пошлина за совершение действий, связанных с приобретением гражданства Российской Федерации или выходом из гражданства Российской Федерации, а также с въездом в Российскую Федерацию или выездом из Российской Федерации",2025-10-01,0.6,0.4,57.8,2807627791,2025Q4
Налоги на имущество,2025-10-01,0.0,-0.001,0.0,2807627800,2025Q4
"НАЛОГИ НА ПРИБЫЛЬ, ДОХОДЫ",2025-10-01,3911.4,2867.6,73.3,2807627793,2025Q4
Прочие налоги и сборы (по отмененным налогам и сборам субъектов Российской Федерации),2025-10-01,0.0,-2e-06,0.0,2807627803,2025Q4
АДМИНИСТРАТИВНЫЕ ПЛАТЕЖИ И СБОРЫ,2025-10-01,0.2,0.3,135.7,2807627801,2025Q4
"Доходы в виде прибыли, приходящейся на доли в уставных (складочных) капиталах хозяйственных товариществ и обществ, или дивидендов по акциям, принадлежащим Российской Федерации, субъектам Российской Федерации или муниципальным образованиям",2025-10-01,2.0,0.4,17.8,2807627818,2025Q4
Единый сельскохозяйственный налог,2025-10-01,0.1,0.1,107.1,2807627817,2025Q4
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях, за административные правонарушения в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, а также за административные правонарушения порядка ценообразования в части регулирования цен на этиловый спирт, алкогольную и спиртосодержащую продукцию",2025-10-01,0.1,0.1,105.4,2807627816,2025Q4
"ДОХОДЫ ОТ ИСПОЛЬЗОВАНИЯ ИМУЩЕСТВА, НАХОДЯЩЕГОСЯ В ГОСУДАРСТВЕННОЙ И МУНИЦИПАЛЬНОЙ СОБСТВЕННОСТИ",2025-10-01,290.2,295.0,101.7,2807627815,2025Q4
"Административные штрафы, установленные главой 12 Кодекса Российской Федерации об административных правонарушениях, за административные правонарушения в области дорожного движения, налагаемые должностными лицами органов исполнительной власти субъектов Российской Федерации, учреждениями субъектов Российской Федерации (штрафы за нарушение Правил дорожного движения, правил эксплуатации транспортного средства, налагаемые должностными лицами органов исполнительной власти субъектов Российской Федерации при осуществлении полномочий в рамках соглашения с федеральным органом исполнительной власти о передаче осуществления части полномочий, заключенного в соответствии со статьей 23.79 Кодекса Российской Федерации об административных правонарушениях)",2025-10-01,3.0,2.9,97.8,2807627813,2025Q4
Неналоговые доходы,2025-10-01,460.0,439.0,95.4,2807627812,2025Q4
Единый налог на вмененный доход для отдельных видов деятельности,2025-10-01,0.0,-0.0001,0.0,2807627814,2025Q4
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях",2025-10-01,25.5,24.3,95.1,2807627810,2025Q4
"Налог, взимаемый в виде стоимости патента в связи с применением упрощенной системы налогообложения",2025-10-01,0.0,0.0002,0.0,2807627809,2025Q4
НАЛОГИ НА СОВОКУПНЫЙ ДОХОД,2025-10-01,362.7,276.4,76.2,2807627808,2025Q4
"ШТРАФЫ, САНКЦИИ, ВОЗМЕЩЕНИЕ УЩЕРБА",2025-10-01,60.0,60.2,100.4,2807627807,2025Q4
Прочие налоги и сборы (по отмененным местным налогам и сборам),2025-10-01,0.0,1e-05,0.0,2807627806,2025Q4
"Акцизы по подакцизным товарам (продукции), производимым на территории Российской Федерации",2025-10-01,73.6,48.3,65.6,2807627805,2025Q4
"Платежи, взимаемые государственными и муниципальными органами (организациями) за выполнение определенных функций",2025-10-01,0.2,0.3,135.7,2807627804,2025Q4
"Налог, взимаемый в связи с применением упрощенной системы налогообложения",2025-10-01,321.4,237.9,74.0,2807627811,2025Q4
Платежи от государственных и муниципальных унитарных предприятий,2026-01-01,0.1,0.5,464.5,2846351738,2026Q1
ПРОЧИЕ НЕНАЛОГОВЫЕ ДОХОДЫ,2026-01-01,57.7,63.5,110.1,2846351743,2026Q1
Налог на имущество физических лиц,2026-01-01,36.2,39.4,108.9,2846351742,2026Q1
"Средства, получаемые от передачи имущества, находящегося в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных), в залог, в доверительное управление",2026-01-01,0.1,0.1,190.9,2846351741,2026Q1
