Revenue type,Date,Planned revenue volume,Actual revenue volume,Revenue completion rate,global_id,Quarter
Платежи от государственных и муниципальных унитарных предприятий,2024-01-01,1.3,0.9,65.4,2687941968,2024Q1
Платежи при пользовании недрами,2024-01-01,0.001,0.002,260.9,2687941982,2024Q1
Сборы за пользование объектами животного мира и за пользование объектами водных биологических ресурсов,2024-01-01,0.01,0.01,140.1,2687941981,2024Q1
"Прочие неналоговые доходы в части невыясненных поступлений, по которым не осуществлен возврат (уточнение) не позднее трех лет со дня их зачисления на единый счет соответствующего бюджета бюджетной системы Российской Федерации",2024-01-01,0.0001,0.001,715.8,2687941980,2024Q1
Плата за негативное воздействие на окружающую среду,2024-01-01,0.2,0.1,81.1,2687941979,2024Q1
Налог на добычу полезных ископаемых,2024-01-01,0.0,-0.1,0.0,2687941978,2024Q1
ПЛАТЕЖИ ПРИ ПОЛЬЗОВАНИИ ПРИРОДНЫМИ РЕСУРСАМИ,2024-01-01,0.2,0.2,81.8,2687941977,2024Q1
Безвозмездные поступления,2024-01-01,40.8,78.3,192.0,2687941983,2024Q1
"НАЛОГИ, СБОРЫ И РЕГУЛЯРНЫЕ ПЛАТЕЖИ ЗА ПОЛЬЗОВАНИЕ ПРИРОДНЫМИ РЕСУРСАМИ",2024-01-01,0.01,-0.04,-538.2,2687941975,2024Q1
"Прочие доходы от использования имущества и прав, находящихся в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2024-01-01,7.8,7.7,98.5,2687941974,2024Q1
Невыясненные поступления,2024-01-01,0.0,-0.01,0.0,2687941973,2024Q1
Земельный налог,2024-01-01,27.3,24.6,89.8,2687941972,2024Q1
"Средства, получаемые от передачи имущества, находящегося в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных), в залог, в доверительное управление",2024-01-01,0.1,0.001,1.3,2687941971,2024Q1
ПРОЧИЕ НЕНАЛОГОВЫЕ ДОХОДЫ,2024-01-01,26.5,50.0,188.4,2687941970,2024Q1
Прочие неналоговые доходы,2024-01-01,26.5,50.0,188.4,2687941976,2024Q1
ПЛАТЕЖИ ПРИ ПОЛЬЗОВАНИИ ПРИРОДНЫМИ РЕСУРСАМИ,2024-04-01,0.2,0.05,28.1,2695056155,2024Q2
"Прочие неналоговые доходы в части невыясненных поступлений, по которым не осуществлен возврат (уточнение) не позднее трех лет со дня их зачисления на единый счет соответствующего бюджета бюджетной системы Российской Федерации",2024-04-01,0.001,2e-05,2.1,2695056154,2024Q2
НАЛОГИ НА ИМУЩЕСТВО,2024-04-01,281.4,60.0,21.3,2695056153,2024Q2
"Прочие доходы от использования имущества и прав, находящихся в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2024-04-01,8.2,1.8,22.5,2695056152,2024Q2
Прочие неналоговые доходы,2024-04-01,39.9,22.8,57.2,2695056151,2024Q2
"Доходы от сумм пеней, предусмотренных законодательством Российской Федерации о налогах и сборах, подлежащие зачислению в бюджеты субъектов Российской Федерации по нормативу, установленному Бюджетным кодексом Российской Федерации, распределяемые Федеральным казначейством между бюджетами субъектов Российской Федерации в соответствии с федеральным законом о федеральном бюджете",2024-04-01,5.2,3.2,61.3,2695056141,2024Q2
"Налог, взимаемый в связи с применением специального налогового режима «Автоматизированная упрощенная система налогообложения»",2024-04-01,0.3,0.1,44.2,2695056150,2024Q2
Платежи от государственных и муниципальных унитарных предприятий,2024-04-01,0.3,0.1,30.0,2695056146,2024Q2
Налог на профессиональный доход,2024-04-01,11.1,3.2,29.4,2695056147,2024Q2
Торговый сбор,2024-04-01,8.5,2.4,27.9,2695056145,2024Q2
ПРОЧИЕ НЕНАЛОГОВЫЕ ДОХОДЫ,2024-04-01,39.9,22.8,57.1,2695056144,2024Q2
"Плата по соглашениям об установлении сервитута в отношении земельных участков, находящихся в государственной или муниципальной собственности",2024-04-01,0.004,0.1,1304.8,2695056143,2024Q2
"Налог, взимаемый в связи с применением патентной системы налогообложения",2024-04-01,9.7,4.6,47.5,2695056142,2024Q2
Налог на имущество физических лиц,2024-04-01,32.2,1.6,4.9,2695056156,2024Q2
Невыясненные поступления,2024-04-01,0.0,-0.01,0.0,2695056148,2024Q2
Плата за негативное воздействие на окружающую среду,2024-04-01,0.2,0.05,29.4,2695056157,2024Q2
Земельный налог,2024-04-01,28.1,5.8,20.6,2695056165,2024Q2
Налог на имущество организаций,2024-04-01,187.4,48.6,25.9,2695056159,2024Q2
"Доходы, получаемые в виде арендной либо иной платы за передачу в возмездное пользование государственного и муниципального имущества (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2024-04-01,104.8,30.9,29.4,2695056140,2024Q2
"Средства, получаемые от передачи имущества, находящегося в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных), в залог, в доверительное управление",2024-04-01,0.1,0.0,0.0,2695057050,2024Q2
"Доходы в виде прибыли, приходящейся на доли в уставных (складочных) капиталах хозяйственных товариществ и обществ, или дивидендов по акциям, принадлежащим Российской Федерации, субъектам Российской Федерации или муниципальным образованиям",2024-04-01,1.6,0.0,0.0,2695057049,2024Q2
ГОСУДАРСТВЕННАЯ ПОШЛИНА,2024-04-01,4.8,1.2,25.6,2695056171,2024Q2
Сборы за пользование объектами животного мира и за пользование объектами водных биологических ресурсов,2024-04-01,0.01,0.004,48.2,2695056170,2024Q2
Налог на добычу полезных ископаемых,2024-04-01,0.0,-0.002,0.0,2695056169,2024Q2
Безвозмездные поступления,2024-04-01,32.5,35.6,109.5,2695056158,2024Q2
ДОХОДЫ ОТ ПРОДАЖИ МАТЕРИАЛЬНЫХ И НЕМАТЕРИАЛЬНЫХ АКТИВОВ,2024-04-01,19.0,13.2,69.7,2695056168,2024Q2
Доходы от компенсации затрат государства,2024-04-01,13.0,4.5,34.6,2695056166,2024Q2
Доходы от оказания платных услуг (работ),2024-04-01,1.4,0.4,26.0,2695056164,2024Q2
Налог на игорный бизнес,2024-04-01,0.4,0.1,14.8,2695056163,2024Q2
ДОХОДЫ ОТ ОКАЗАНИЯ ПЛАТНЫХ УСЛУГ И КОМПЕНСАЦИИ ЗАТРАТ ГОСУДАРСТВА,2024-04-01,14.4,4.9,33.8,2695056162,2024Q2
Транспортный налог,2024-04-01,33.3,4.1,12.2,2695056161,2024Q2
Платежи при пользовании недрами,2024-04-01,0.01,4e-05,0.6,2695056160,2024Q2
"НАЛОГИ, СБОРЫ И РЕГУЛЯРНЫЕ ПЛАТЕЖИ ЗА ПОЛЬЗОВАНИЕ ПРИРОДНЫМИ РЕСУРСАМИ",2024-04-01,0.01,0.002,28.0,2695056167,2024Q2
Единый сельскохозяйственный налог,2024-04-01,0.1,0.04,70.9,2695056139,2024Q2
"ШТРАФЫ, САНКЦИИ, ВОЗМЕЩЕНИЕ УЩЕРБА",2024-04-01,46.5,12.9,27.8,2695056118,2024Q2
Доходы от размещения средств бюджетов,2024-04-01,73.0,28.6,39.2,2695056137,2024Q2
Налоги на имущество,2024-04-01,0.0,-0.0002,0.0,2695056116,2024Q2
"Платежи, взимаемые государственными и муниципальными органами (организациями) за выполнение определенных функций",2024-04-01,0.2,0.2,74.9,2695056115,2024Q2
"ЗАДОЛЖЕННОСТЬ И ПЕРЕРАСЧЕТЫ ПО ОТМЕНЕННЫМ НАЛОГАМ, СБОРАМ И ИНЫМ ОБЯЗАТЕЛЬНЫМ ПЛАТЕЖАМ",2024-04-01,0.0,-0.0003,0.0,2695056114,2024Q2
АДМИНИСТРАТИВНЫЕ ПЛАТЕЖИ И СБОРЫ,2024-04-01,0.2,0.2,74.9,2695056113,2024Q2
"Доходы от приватизации имущества, находящегося в государственной и муниципальной собственности",2024-04-01,4.4,6.3,142.2,2695056112,2024Q2
Налоговые доходы,2024-04-01,3981.5,967.4,24.3,2695056111,2024Q2
"НАЛОГИ НА ПРИБЫЛЬ, ДОХОДЫ",2024-04-01,3362.3,842.3,25.1,2695056117,2024Q2
"Государственная пошлина за государственную регистрацию, а также за совершение прочих юридически значимых действий",2024-04-01,1.9,0.4,21.2,2695056110,2024Q2
"Государственная пошлина за совершение действий, связанных с приобретением гражданства Российской Федерации или выходом из гражданства Российской Федерации, а также с въездом в Российскую Федерацию или выездом из Российской Федерации",2024-04-01,0.4,0.1,28.1,2695056108,2024Q2
"Доходы от реализации имущества, находящегося в государственной и муниципальной собственности (за исключением движимого имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2024-04-01,8.1,4.3,53.1,2695056107,2024Q2
"Государственная пошлина за государственную регистрацию актов гражданского состояния и другие юридически значимые действия, совершаемые органами записи актов гражданского состояния и иными уполномоченными органами (за исключением консульских учреждений Российской Федерации)",2024-04-01,0.1,0.01,12.8,2695056106,2024Q2
"Доходы, всего",2024-04-01,4322.2,1118.4,25.9,2695056105,2024Q2
"Государственная пошлина по делам, рассматриваемым в судах общей юрисдикции, мировыми судьями",2024-04-01,2.4,0.7,29.0,2695056104,2024Q2
"Платежи, уплачиваемые в целях возмещения вреда",2024-04-01,0.04,0.01,16.8,2695056138,2024Q2
"Доходы от продажи земельных участков, находящихся в государственной и муниципальной собственности",2024-04-01,2.3,1.5,65.3,2695056109,2024Q2
Налог на прибыль организаций,2024-04-01,1458.2,454.2,31.2,2695056119,2024Q2
Доходы от продажи квартир,2024-04-01,4.2,1.1,27.5,2695056103,2024Q2
Единый налог на вмененный доход для отдельных видов деятельности,2024-04-01,0.0,3e-05,0.0,2695056136,2024Q2
Платежи в целях возмещения причиненного ущерба (убытков),2024-04-01,0.1,0.04,68.2,2695056135,2024Q2
"Налог, взимаемый в связи с применением упрощенной системы налогообложения",2024-04-01,238.4,38.9,16.3,2695056133,2024Q2
"Штрафы, неустойки, пени, уплаченные в соответствии с законом или договором в случае неисполнения или ненадлежащего исполнения обязательств перед государственным (муниципальным) органом, органом управления государственным внебюджетным фондом, казенным учреждением, Центральным банком Российской Федерации, иной организацией, действующей от имени Российской Федерации",2024-04-01,4.1,0.7,16.6,2695056132,2024Q2
"ДОХОДЫ ОТ ИСПОЛЬЗОВАНИЯ ИМУЩЕСТВА, НАХОДЯЩЕГОСЯ В ГОСУДАРСТВЕННОЙ И МУНИЦИПАЛЬНОЙ СОБСТВЕННОСТИ",2024-04-01,188.0,61.4,32.7,2695056131,2024Q2
Прочие налоги и сборы (по отмененным налогам и сборам субъектов Российской Федерации),2024-04-01,0.0,1e-05,0.0,2695056120,2024Q2
"Административные штрафы, установленные законами субъектов Российской Федерации об административных правонарушениях",2024-04-01,11.8,2.4,20.4,2695056129,2024Q2
Неналоговые доходы,2024-04-01,308.1,115.4,37.5,2695056128,2024Q2
НАЛОГИ НА СОВОКУПНЫЙ ДОХОД,2024-04-01,267.7,49.3,18.4,2695056130,2024Q2
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях, за административные правонарушения в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, а также за административные правонарушения порядка ценообразования в части регулирования цен на этиловый спирт, алкогольную и спиртосодержащую продукцию",2024-04-01,0.1,0.01,17.1,2695056126,2024Q2
"Налог, взимаемый в виде стоимости патента в связи с применением упрощенной системы налогообложения",2024-04-01,0.0,-0.0001,0.0,2695056125,2024Q2
"НАЛОГИ НА ТОВАРЫ (РАБОТЫ, УСЛУГИ), РЕАЛИЗУЕМЫЕ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ",2024-04-01,65.3,14.5,22.3,2695056124,2024Q2
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях",2024-04-01,25.1,6.5,26.0,2695056123,2024Q2
Прочие налоги и сборы (по отмененным местным налогам и сборам),2024-04-01,0.0,1e-05,0.0,2695056122,2024Q2
Налог на доходы физических лиц,2024-04-01,1904.1,388.1,20.4,2695056121,2024Q2
"Акцизы по подакцизным товарам (продукции), производимым на территории Российской Федерации",2024-04-01,65.3,14.5,22.3,2695056127,2024Q2
"Налог, взимаемый в связи с применением патентной системы налогообложения",2024-07-01,9.7,8.0,82.5,2696369672,2024Q3
Плата за негативное воздействие на окружающую среду,2024-07-01,0.2,0.1,51.8,2696369671,2024Q3
Единый сельскохозяйственный налог,2024-07-01,0.1,0.05,80.0,2696369670,2024Q3
Безвозмездные поступления,2024-07-01,34.5,52.9,153.2,2696369669,2024Q3
ПЛАТЕЖИ ПРИ ПОЛЬЗОВАНИИ ПРИРОДНЫМИ РЕСУРСАМИ,2024-07-01,0.2,0.1,54.9,2696369668,2024Q3
Единый налог на вмененный доход для отдельных видов деятельности,2024-07-01,0.0,3e-05,0.0,2696369667,2024Q3
Платежи от государственных и муниципальных унитарных предприятий,2024-07-01,0.3,0.5,167.0,2696369659,2024Q3
"Прочие доходы от использования имущества и прав, находящихся в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2024-07-01,8.2,3.8,46.8,2696369665,2024Q3
"Налог, взимаемый в связи с применением упрощенной системы налогообложения",2024-07-01,238.1,151.6,63.7,2696369664,2024Q3
Прочие неналоговые доходы,2024-07-01,39.9,47.8,119.9,2696369663,2024Q3
"Средства, получаемые от передачи имущества, находящегося в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных), в залог, в доверительное управление",2024-07-01,0.1,0.1,73.3,2696369662,2024Q3
Невыясненные поступления,2024-07-01,0.0,-0.001,0.0,2696369661,2024Q3
НАЛОГИ НА СОВОКУПНЫЙ ДОХОД,2024-07-01,267.7,171.6,64.1,2696369660,2024Q3
Платежи при пользовании недрами,2024-07-01,0.01,0.01,116.4,2696369673,2024Q3
"Прочие неналоговые доходы в части невыясненных поступлений, по которым не осуществлен возврат (уточнение) не позднее трех лет со дня их зачисления на единый счет соответствующего бюджета бюджетной системы Российской Федерации",2024-07-01,0.001,0.0001,18.4,2696369666,2024Q3
