"Revenue type";"Date";"Planned revenue volume";"Actual revenue volume";"Revenue completion rate";"global_id"
"Вид дохода";"Дата";"Планируемый объём дохода";"Фактическое исполнение";"Процент исполнения";"global_id"
"Прочие налоги и сборы (по отмененным местным налогам и сборам)";"01.04.2024";"";"1.0E-5";"";"2695056122"
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях";"01.04.2024";"25.1";"6.5";"26";"2695056123"
"НАЛОГИ НА ТОВАРЫ (РАБОТЫ, УСЛУГИ), РЕАЛИЗУЕМЫЕ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ";"01.04.2024";"65.3";"14.5";"22.3";"2695056124"
"Налог, взимаемый в виде стоимости патента в связи с применением упрощенной системы налогообложения";"01.04.2024";"";"-1.0E-4";"";"2695056125"
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях, за административные правонарушения в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, а также за административные правонарушения порядка ценообразования в части регулирования цен на этиловый спирт, алкогольную и спиртосодержащую продукцию";"01.04.2024";"0.1";"0.01";"17.1";"2695056126"
"Акцизы по подакцизным товарам (продукции), производимым на территории Российской Федерации";"01.04.2024";"65.3";"14.5";"22.3";"2695056127"
"Неналоговые доходы";"01.04.2024";"308.1";"115.4";"37.5";"2695056128"
"Административные штрафы, установленные законами субъектов Российской Федерации об административных правонарушениях";"01.04.2024";"11.8";"2.4";"20.4";"2695056129"
"НАЛОГИ НА СОВОКУПНЫЙ ДОХОД";"01.04.2024";"267.7";"49.3";"18.4";"2695056130"
"ДОХОДЫ ОТ ИСПОЛЬЗОВАНИЯ ИМУЩЕСТВА, НАХОДЯЩЕГОСЯ В ГОСУДАРСТВЕННОЙ И МУНИЦИПАЛЬНОЙ СОБСТВЕННОСТИ";"01.04.2024";"188";"61.4";"32.7";"2695056131"
"Штрафы, неустойки, пени, уплаченные в соответствии с законом или договором в случае неисполнения или ненадлежащего исполнения обязательств перед государственным (муниципальным) органом, органом управления государственным внебюджетным фондом, казенным учреждением, Центральным банком Российской Федерации, иной организацией, действующей от имени Российской Федерации";"01.04.2024";"4.1";"0.7";"16.6";"2695056132"
"Налог, взимаемый в связи с применением упрощенной системы налогообложения";"01.04.2024";"238.4";"38.9";"16.3";"2695056133"
"Платежи в целях возмещения причиненного ущерба (убытков)";"01.04.2024";"0.1";"0.04";"68.2";"2695056135"
"Единый налог на вмененный доход для отдельных видов деятельности";"01.04.2024";"";"3.0E-5";"";"2695056136"
"Доходы от размещения средств бюджетов";"01.04.2024";"73";"28.6";"39.2";"2695056137"
"Платежи, уплачиваемые в целях возмещения вреда";"01.04.2024";"0.04";"0.01";"16.8";"2695056138"
"Единый сельскохозяйственный налог";"01.04.2024";"0.1";"0.04";"70.9";"2695056139"
"Доходы, получаемые в виде арендной либо иной платы за передачу в возмездное пользование государственного и муниципального имущества (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.04.2024";"104.8";"30.9";"29.4";"2695056140"
"Доходы от сумм пеней, предусмотренных законодательством Российской Федерации о налогах и сборах, подлежащие зачислению в бюджеты субъектов Российской Федерации по нормативу, установленному Бюджетным кодексом Российской Федерации, распределяемые Федеральным казначейством между бюджетами субъектов Российской Федерации в соответствии с федеральным законом о федеральном бюджете";"01.04.2024";"5.2";"3.2";"61.3";"2695056141"
"Налог, взимаемый в связи с применением патентной системы налогообложения";"01.04.2024";"9.7";"4.6";"47.5";"2695056142"
"Плата по соглашениям об установлении сервитута в отношении земельных участков, находящихся в государственной или муниципальной собственности";"01.04.2024";"0.004";"0.1";"1304.8";"2695056143"
"ПРОЧИЕ НЕНАЛОГОВЫЕ ДОХОДЫ";"01.04.2024";"39.9";"22.8";"57.1";"2695056144"
