"Revenue type";"Date";"Planned revenue volume";"Actual revenue volume";"Revenue completion rate";"global_id"
"Вид дохода";"Дата";"Планируемый объём дохода";"Фактическое исполнение";"Процент исполнения";"global_id"
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях, за административные правонарушения в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, а также за административные правонарушения порядка ценообразования в части регулирования цен на этиловый спирт, алкогольную и спиртосодержащую продукцию";"01.04.2025";"0.1";"0.01";"27.8";"2755747636"
"Налог, взимаемый в виде стоимости патента в связи с применением упрощенной системы налогообложения";"01.04.2025";"";"2.0E-4";"";"2755747637"
"Единый сельскохозяйственный налог";"01.04.2025";"0.1";"0.1";"57.4";"2755747638"
"Административные штрафы, установленные законами субъектов Российской Федерации об административных правонарушениях";"01.04.2025";"14.1";"3.5";"24.6";"2755747639"
"Неналоговые доходы";"01.04.2025";"460";"127.4";"27.7";"2755747640"
"Налог, взимаемый в связи с применением патентной системы налогообложения";"01.04.2025";"11.4";"4.8";"41.8";"2755747641"
"Штрафы, неустойки, пени, уплаченные в соответствии с законом или договором в случае неисполнения или ненадлежащего исполнения обязательств перед государственным (муниципальным) органом, органом управления государственным внебюджетным фондом, казенным учреждением, Центральным банком Российской Федерации, иной организацией, действующей от имени Российской Федерации";"01.04.2025";"4.1";"0.9";"22.7";"2755747642"
"Торговый сбор";"01.04.2025";"11.7";"2.6";"22.1";"2755747643"
"ДОХОДЫ ОТ ИСПОЛЬЗОВАНИЯ ИМУЩЕСТВА, НАХОДЯЩЕГОСЯ В ГОСУДАРСТВЕННОЙ И МУНИЦИПАЛЬНОЙ СОБСТВЕННОСТИ";"01.04.2025";"290.2";"88.3";"30.4";"2755747644"
"Платежи в целях возмещения причиненного ущерба (убытков)";"01.04.2025";"0.1";"-0.002";"-1.4";"2755747645"
"Налог на профессиональный доход";"01.04.2025";"17.4";"4.7";"27.3";"2755747646"
"Платежи, уплачиваемые в целях возмещения вреда";"01.04.2025";"0.03";"0.01";"24.6";"2755747648"
"Доходы от размещения средств бюджетов";"01.04.2025";"141.5";"55.7";"39.4";"2755747649"
"Доходы от сумм пеней, предусмотренных законодательством Российской Федерации о налогах и сборах, подлежащие зачислению в бюджеты субъектов Российской Федерации по нормативу, установленному Бюджетным кодексом Российской Федерации, распределяемые Федеральным казначейством между бюджетами субъектов Российской Федерации в соответствии с федеральным законом о федеральном бюджете";"01.04.2025";"16.1";"5.6";"35.1";"2755747650"
"Налог, взимаемый в связи с применением специального налогового режима «Автоматизированная упрощенная система налогообложения»";"01.04.2025";"0.7";"0.2";"31.5";"2755747651"
"Доходы, получаемые в виде арендной либо иной платы за передачу в возмездное пользование государственного и муниципального имущества (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.04.2025";"135";"28.6";"21.2";"2755747652"
"ПРОЧИЕ НЕНАЛОГОВЫЕ ДОХОДЫ";"01.04.2025";"57.7";"10.8";"18.7";"2755747653"
"НАЛОГИ НА ИМУЩЕСТВО";"01.04.2025";"307.7";"68.6";"22.3";"2755747654"
"Плата по соглашениям об установлении сервитута в отношении земельных участков, находящихся в государственной или муниципальной собственности";"01.04.2025";"0.01";"0.001";"10.2";"2755747655"
"Невыясненные поступления";"01.04.2025";"";"-0.005";"";"2755747656"
"Прочие неналоговые доходы";"01.04.2025";"57.7";"10.8";"18.7";"2755747657"
"Налог на имущество физических лиц";"01.04.2025";"36.2";"1.7";"4.6";"2755747658"
"Платежи от государственных и муниципальных унитарных предприятий";"01.04.2025";"0.1";"0.2";"177.9";"2755747659"
"Налог на имущество организаций";"01.04.2025";"207.6";"55.2";"26.6";"2755747660"
"Прочие неналоговые доходы в части невыясненных поступлений, по которым не осуществлен возврат (уточнение) не позднее трех лет со дня их зачисления на единый счет соответствующего бюджета бюджетной системы Российской Федерации";"01.04.2025";"0.001";"2.0E-4";"26.9";"2755747661"
"Прочие доходы от использования имущества и прав, находящихся в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.04.2025";"11.5";"3.8";"33.1";"2755747663"
"Транспортный налог";"01.04.2025";"34.3";"3.7";"10.9";"2755747664"
"Безвозмездные поступления";"01.04.2025";"39.2";"45.3";"115.6";"2755747665"
"ПЛАТЕЖИ ПРИ ПОЛЬЗОВАНИИ ПРИРОДНЫМИ РЕСУРСАМИ";"01.04.2025";"0.2";"0.04";"26.9";"2755747666"
"Налог на игорный бизнес";"01.04.2025";"0.2";"0.1";"61.8";"2755747667"
"Плата за негативное воздействие на окружающую среду";"01.04.2025";"0.2";"0.04";"25.7";"2755747668"
"Земельный налог";"01.04.2025";"29.3";"7.9";"26.9";"2755747669"
"Платежи при пользовании недрами";"01.04.2025";"1.0E-4";"0.002";"2048.5";"2755747670"
"НАЛОГИ, СБОРЫ И РЕГУЛЯРНЫЕ ПЛАТЕЖИ ЗА ПОЛЬЗОВАНИЕ ПРИРОДНЫМИ РЕСУРСАМИ";"01.04.2025";"0.01";"0.1";"444.2";"2755747671"
"Налог на добычу полезных ископаемых";"01.04.2025";"";"0.1";"";"2755747672"
"ДОХОДЫ ОТ ОКАЗАНИЯ ПЛАТНЫХ УСЛУГ И КОМПЕНСАЦИИ ЗАТРАТ ГОСУДАРСТВА";"01.04.2025";"15.4";"3.4";"22.3";"2755747673"
"Сборы за пользование объектами животного мира и за пользование объектами водных биологических ресурсов";"01.04.2025";"0.01";"0.002";"14.6";"2755747674"
"Доходы от оказания платных услуг (работ)";"01.04.2025";"1.6";"0.3";"20.4";"2755747675"
"ГОСУДАРСТВЕННАЯ ПОШЛИНА";"01.04.2025";"5.9";"2.8";"46.6";"2755747676"
"Доходы от компенсации затрат государства";"01.04.2025";"13.8";"3.1";"22.5";"2755747677"
"ДОХОДЫ ОТ ПРОДАЖИ МАТЕРИАЛЬНЫХ И НЕМАТЕРИАЛЬНЫХ АКТИВОВ";"01.04.2025";"36.4";"9.1";"25.1";"2755747678"
"Прочие налоги и сборы (по отмененным налогам и сборам субъектов Российской Федерации)";"01.04.2025";"";"0";"";"2755751116"
"Доходы в виде прибыли, приходящейся на доли в уставных (складочных) капиталах хозяйственных товариществ и обществ, или дивидендов по акциям, принадлежащим Российской Федерации, субъектам Российской Федерации или муниципальным образованиям";"01.04.2025";"2";"0";"0";"2755751118"
"Средства, получаемые от передачи имущества, находящегося в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных), в залог, в доверительное управление";"01.04.2025";"0.1";"0";"0";"2755751119"
"Доходы от продажи квартир";"01.07.2025";"5.6";"2.2";"40";"2790281764"
"Доходы, всего";"01.07.2025";"5168.6";"2535.3";"49.1";"2790281765"
"Государственная пошлина по делам, рассматриваемым в судах общей юрисдикции, мировыми судьями";"01.07.2025";"3.2";"4.2";"131";"2790281766"
"Доходы от реализации имущества, находящегося в государственной и муниципальной собственности (за исключением движимого имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.07.2025";"9.1";"5.2";"56.7";"2790281767"
"Налоговые доходы";"01.07.2025";"4661.3";"2183.5";"46.8";"2790281768"
"Государственная пошлина за государственную регистрацию актов гражданского состояния и другие юридически значимые действия, совершаемые органами записи актов гражданского состояния и иными уполномоченными органами (за исключением консульских учреждений Российской Федерации)";"01.07.2025";"0.04";"0.05";"130.7";"2790281769"
"Доходы от продажи земельных участков, находящихся в государственной и муниципальной собственности";"01.07.2025";"5.6";"1.6";"28.7";"2790281770"
"Государственная пошлина за совершение действий, связанных с приобретением гражданства Российской Федерации или выходом из гражданства Российской Федерации, а также с въездом в Российскую Федерацию или выездом из Российской Федерации";"01.07.2025";"0.6";"0.2";"38";"2790281771"
"НАЛОГИ НА ПРИБЫЛЬ, ДОХОДЫ";"01.07.2025";"3911.4";"1813.2";"46.4";"2790281772"
"Плата за увеличение площади земельных участков, находящихся в частной собственности, в результате перераспределения таких земельных участков и земель (или) земельных участков, находящихся в государственной или муниципальной собственности";"01.07.2025";"";"0.7";"";"2790281773"
"Государственная пошлина за государственную регистрацию, а также за совершение прочих юридически значимых действий";"01.07.2025";"2";"1";"50.1";"2790281774"
"Налог на прибыль организаций";"01.07.2025";"1581.5";"863.1";"54.6";"2790281775"
"Доходы от приватизации имущества, находящегося в государственной и муниципальной собственности";"01.07.2025";"16.1";"10.2";"63.5";"2790281776"
"Налог на доходы физических лиц";"01.07.2025";"2329.9";"950.2";"40.8";"2790281777"
"ЗАДОЛЖЕННОСТЬ И ПЕРЕРАСЧЕТЫ ПО ОТМЕНЕННЫМ НАЛОГАМ, СБОРАМ И ИНЫМ ОБЯЗАТЕЛЬНЫМ ПЛАТЕЖАМ";"01.07.2025";"";"-4.0E-4";"";"2790281778"
"АДМИНИСТРАТИВНЫЕ ПЛАТЕЖИ И СБОРЫ";"01.07.2025";"0.2";"0.2";"91.8";"2790281779"
"Налоги на имущество";"01.07.2025";"";"-0.001";"";"2790281780"
"НАЛОГИ НА ТОВАРЫ (РАБОТЫ, УСЛУГИ), РЕАЛИЗУЕМЫЕ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ";"01.07.2025";"73.6";"27.1";"36.8";"2790281781"
"Платежи, взимаемые государственными и муниципальными органами (организациями) за выполнение определенных функций";"01.07.2025";"0.2";"0.2";"91.8";"2790281782"
"Прочие налоги и сборы (по отмененным налогам и сборам субъектов Российской Федерации)";"01.07.2025";"";"-2.0E-6";"";"2790281783"
"Акцизы по подакцизным товарам (продукции), производимым на территории Российской Федерации";"01.07.2025";"73.6";"27.1";"36.8";"2790281784"
"ШТРАФЫ, САНКЦИИ, ВОЗМЕЩЕНИЕ УЩЕРБА";"01.07.2025";"60";"39.7";"66.2";"2790281785"
"Прочие налоги и сборы (по отмененным местным налогам и сборам)";"01.07.2025";"";"1.0E-5";"";"2790281786"
"НАЛОГИ НА СОВОКУПНЫЙ ДОХОД";"01.07.2025";"362.7";"199.3";"54.9";"2790281787"
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях";"01.07.2025";"25.5";"16.6";"65.1";"2790281788"
"Налог, взимаемый в виде стоимости патента в связи с применением упрощенной системы налогообложения";"01.07.2025";"";"2.0E-4";"";"2790281789"
"Налог, взимаемый в связи с применением упрощенной системы налогообложения";"01.07.2025";"321.4";"172.1";"53.5";"2790281790"
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях, за административные правонарушения в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, а также за административные правонарушения порядка ценообразования в части регулирования цен на этиловый спирт, алкогольную и спиртосодержащую продукцию";"01.07.2025";"0.1";"0.03";"63.5";"2790281791"
"Неналоговые доходы";"01.07.2025";"460";"282.2";"61.3";"2790281792"
"Единый налог на вмененный доход для отдельных видов деятельности";"01.07.2025";"";"-1.0E-4";"";"2790281793"
"Административные штрафы, установленные законами субъектов Российской Федерации об административных правонарушениях";"01.07.2025";"14.1";"8.1";"57.3";"2790281794"
"Единый сельскохозяйственный налог";"01.07.2025";"0.1";"0.1";"66.1";"2790281795"
"ДОХОДЫ ОТ ИСПОЛЬЗОВАНИЯ ИМУЩЕСТВА, НАХОДЯЩЕГОСЯ В ГОСУДАРСТВЕННОЙ И МУНИЦИПАЛЬНОЙ СОБСТВЕННОСТИ";"01.07.2025";"290.2";"185.5";"63.9";"2790281796"
"Штрафы, неустойки, пени, уплаченные в соответствии с законом или договором в случае неисполнения или ненадлежащего исполнения обязательств перед государственным (муниципальным) органом, органом управления государственным внебюджетным фондом, казенным учреждением, Центральным банком Российской Федерации, иной организацией, действующей от имени Российской Федерации";"01.07.2025";"4.1";"2.2";"54.4";"2790281797"
"Налог, взимаемый в связи с применением патентной системы налогообложения";"01.07.2025";"11.4";"9.3";"81.3";"2790281798"
"Платежи в целях возмещения причиненного ущерба (убытков)";"01.07.2025";"0.1";"0.03";"25.3";"2790281800"
"Торговый сбор";"01.07.2025";"11.7";"7.6";"64.4";"2790281801"
"Доходы от размещения средств бюджетов";"01.07.2025";"141.5";"114.1";"80.7";"2790281802"
"Платежи, уплачиваемые в целях возмещения вреда";"01.07.2025";"0.03";"0.02";"66.6";"2790281803"
"Налог на профессиональный доход";"01.07.2025";"17.4";"9.9";"56.7";"2790281804"
"Доходы, получаемые в виде арендной либо иной платы за передачу в возмездное пользование государственного и муниципального имущества (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.07.2025";"135";"63.7";"47.2";"2790281805"
"Налог, взимаемый в связи с применением специального налогового режима «Автоматизированная упрощенная система налогообложения»";"01.07.2025";"0.7";"0.5";"64.8";"2790281806"
"Доходы от сумм пеней, предусмотренных законодательством Российской Федерации о налогах и сборах, подлежащие зачислению в бюджеты субъектов Российской Федерации по нормативу, установленному Бюджетным кодексом Российской Федерации, распределяемые Федеральным казначейством между бюджетами субъектов Российской Федерации в соответствии с федеральным законом о федеральном бюджете";"01.07.2025";"16.1";"12.7";"79.3";"2790281807"
"Плата по соглашениям об установлении сервитута в отношении земельных участков, находящихся в государственной или муниципальной собственности";"01.07.2025";"0.01";"0.01";"107";"2790281808"
"ПРОЧИЕ НЕНАЛОГОВЫЕ ДОХОДЫ";"01.07.2025";"57.7";"28.5";"49.4";"2790281809"
"НАЛОГИ НА ИМУЩЕСТВО";"01.07.2025";"307.7";"138.4";"45";"2790281810"
"Платежи от государственных и муниципальных унитарных предприятий";"01.07.2025";"0.1";"0.5";"464.5";"2790281811"
"Налог на имущество физических лиц";"01.07.2025";"36.2";"2.2";"6.2";"2790281812"
"Невыясненные поступления";"01.07.2025";"";"0.01";"";"2790281813"
"Средства, получаемые от передачи имущества, находящегося в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных), в залог, в доверительное управление";"01.07.2025";"0.1";"0.1";"190.9";"2790281814"
"Налог на имущество организаций";"01.07.2025";"207.6";"110.2";"53.1";"2790281815"
"Прочие неналоговые доходы";"01.07.2025";"57.7";"28.5";"49.3";"2790281816"
"Прочие доходы от использования имущества и прав, находящихся в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.07.2025";"11.5";"7.1";"61.5";"2790281817"
"Транспортный налог";"01.07.2025";"34.3";"6.9";"20.2";"2790281818"
"Прочие неналоговые доходы в части невыясненных поступлений, по которым не осуществлен возврат (уточнение) не позднее трех лет со дня их зачисления на единый счет соответствующего бюджета бюджетной системы Российской Федерации";"01.07.2025";"0.001";"4.0E-4";"66.1";"2790281819"
"ПЛАТЕЖИ ПРИ ПОЛЬЗОВАНИИ ПРИРОДНЫМИ РЕСУРСАМИ";"01.07.2025";"0.2";"0.1";"52.5";"2790281820"
"Налог на игорный бизнес";"01.07.2025";"0.2";"0.3";"142.6";"2790281821"
"Безвозмездные поступления";"01.07.2025";"47.3";"69.6";"147.1";"2790281822"
"Плата за негативное воздействие на окружающую среду";"01.07.2025";"0.2";"0.1";"50.1";"2790281823"
"Земельный налог";"01.07.2025";"29.3";"18.7";"63.8";"2790281824"
"Платежи при пользовании недрами";"01.07.2025";"1.0E-4";"0.004";"4332.1";"2790281825"
"НАЛОГИ, СБОРЫ И РЕГУЛЯРНЫЕ ПЛАТЕЖИ ЗА ПОЛЬЗОВАНИЕ ПРИРОДНЫМИ РЕСУРСАМИ";"01.07.2025";"0.01";"0.1";"437.4";"2790281826"
"Налог на добычу полезных ископаемых";"01.07.2025";"";"0.1";"";"2790281827"
"ДОХОДЫ ОТ ОКАЗАНИЯ ПЛАТНЫХ УСЛУГ И КОМПЕНСАЦИИ ЗАТРАТ ГОСУДАРСТВА";"01.07.2025";"15.4";"8.2";"53.7";"2790281828"
"Сборы за пользование объектами животного мира и за пользование объектами водных биологических ресурсов";"01.07.2025";"0.01";"0.002";"17.8";"2790281829"
"Доходы от оказания платных услуг (работ)";"01.07.2025";"1.6";"0.8";"49";"2790281830"
"ГОСУДАРСТВЕННАЯ ПОШЛИНА";"01.07.2025";"5.9";"5.5";"93.5";"2790281831"
"Доходы от компенсации затрат государства";"01.07.2025";"13.8";"7.5";"54.2";"2790281832"
"ДОХОДЫ ОТ ПРОДАЖИ МАТЕРИАЛЬНЫХ И НЕМАТЕРИАЛЬНЫХ АКТИВОВ";"01.07.2025";"36.4";"19.9";"54.8";"2790281833"
"Доходы в виде прибыли, приходящейся на доли в уставных (складочных) капиталах хозяйственных товариществ и обществ, или дивидендов по акциям, принадлежащим Российской Федерации, субъектам Российской Федерации или муниципальным образованиям";"01.07.2025";"2";"0";"0";"2790281902"
"Доходы, всего";"01.10.2025";"5195.1";"3951.9";"76.1";"2807627785"
"Государственная пошлина по делам, рассматриваемым в судах общей юрисдикции, мировыми судьями";"01.10.2025";"3.2";"6.5";"200.5";"2807627786"
"Доходы от продажи квартир";"01.10.2025";"5.6";"3.2";"58";"2807627787"
"Государственная пошлина за государственную регистрацию актов гражданского состояния и другие юридически значимые действия, совершаемые органами записи актов гражданского состояния и иными уполномоченными органами (за исключением консульских учреждений Российской Федерации)";"01.10.2025";"0.04";"0.1";"203.7";"2807627788"
"Доходы от реализации имущества, находящегося в государственной и муниципальной собственности (за исключением движимого имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.10.2025";"9.1";"7.7";"84.4";"2807627789"
"Налоговые доходы";"01.10.2025";"4661.3";"3413.7";"73.2";"2807627790"
"Государственная пошлина за совершение действий, связанных с приобретением гражданства Российской Федерации или выходом из гражданства Российской Федерации, а также с въездом в Российскую Федерацию или выездом из Российской Федерации";"01.10.2025";"0.6";"0.4";"57.8";"2807627791"
"Доходы от продажи земельных участков, находящихся в государственной и муниципальной собственности";"01.10.2025";"5.6";"2.4";"43.5";"2807627792"
"НАЛОГИ НА ПРИБЫЛЬ, ДОХОДЫ";"01.10.2025";"3911.4";"2867.6";"73.3";"2807627793"
"Государственная пошлина за государственную регистрацию, а также за совершение прочих юридически значимых действий";"01.10.2025";"2";"1.5";"73.8";"2807627794"
"Плата за увеличение площади земельных участков, находящихся в частной собственности, в результате перераспределения таких земельных участков и земель (или) земельных участков, находящихся в государственной или муниципальной собственности";"01.10.2025";"";"1.2";"";"2807627795"
"Налог на прибыль организаций";"01.10.2025";"1581.5";"1230.4";"77.8";"2807627796"
"ЗАДОЛЖЕННОСТЬ И ПЕРЕРАСЧЕТЫ ПО ОТМЕНЕННЫМ НАЛОГАМ, СБОРАМ И ИНЫМ ОБЯЗАТЕЛЬНЫМ ПЛАТЕЖАМ";"01.10.2025";"";"-5.0E-4";"";"2807627797"
"Доходы от приватизации имущества, находящегося в государственной и муниципальной собственности";"01.10.2025";"16.1";"15.5";"96.5";"2807627798"
"Налог на доходы физических лиц";"01.10.2025";"2329.9";"1637.2";"70.3";"2807627799"
"Налоги на имущество";"01.10.2025";"";"-0.001";"";"2807627800"
"АДМИНИСТРАТИВНЫЕ ПЛАТЕЖИ И СБОРЫ";"01.10.2025";"0.2";"0.3";"135.7";"2807627801"
"НАЛОГИ НА ТОВАРЫ (РАБОТЫ, УСЛУГИ), РЕАЛИЗУЕМЫЕ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ";"01.10.2025";"73.6";"48.3";"65.6";"2807627802"
"Прочие налоги и сборы (по отмененным налогам и сборам субъектов Российской Федерации)";"01.10.2025";"";"-2.0E-6";"";"2807627803"
"Платежи, взимаемые государственными и муниципальными органами (организациями) за выполнение определенных функций";"01.10.2025";"0.2";"0.3";"135.7";"2807627804"
"Акцизы по подакцизным товарам (продукции), производимым на территории Российской Федерации";"01.10.2025";"73.6";"48.3";"65.6";"2807627805"
"Прочие налоги и сборы (по отмененным местным налогам и сборам)";"01.10.2025";"";"1.0E-5";"";"2807627806"
"ШТРАФЫ, САНКЦИИ, ВОЗМЕЩЕНИЕ УЩЕРБА";"01.10.2025";"60";"60.2";"100.4";"2807627807"
"НАЛОГИ НА СОВОКУПНЫЙ ДОХОД";"01.10.2025";"362.7";"276.4";"76.2";"2807627808"
"Налог, взимаемый в виде стоимости патента в связи с применением упрощенной системы налогообложения";"01.10.2025";"";"2.0E-4";"";"2807627809"
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях";"01.10.2025";"25.5";"24.3";"95.1";"2807627810"
"Налог, взимаемый в связи с применением упрощенной системы налогообложения";"01.10.2025";"321.4";"237.9";"74";"2807627811"
"Неналоговые доходы";"01.10.2025";"460";"439";"95.4";"2807627812"
"Административные штрафы, установленные главой 12 Кодекса Российской Федерации об административных правонарушениях, за административные правонарушения в области дорожного движения, налагаемые должностными лицами органов исполнительной власти субъектов Российской Федерации, учреждениями субъектов Российской Федерации (штрафы за нарушение Правил дорожного движения, правил эксплуатации транспортного средства, налагаемые должностными лицами органов исполнительной власти субъектов Российской Федерации при осуществлении полномочий в рамках соглашения с федеральным органом исполнительной власти о передаче осуществления части полномочий, заключенного в соответствии со статьей 23.79 Кодекса Российской Федерации об административных правонарушениях)";"01.10.2025";"3";"2.9";"97.8";"2807627813"
"Единый налог на вмененный доход для отдельных видов деятельности";"01.10.2025";"";"-1.0E-4";"";"2807627814"
"ДОХОДЫ ОТ ИСПОЛЬЗОВАНИЯ ИМУЩЕСТВА, НАХОДЯЩЕГОСЯ В ГОСУДАРСТВЕННОЙ И МУНИЦИПАЛЬНОЙ СОБСТВЕННОСТИ";"01.10.2025";"290.2";"295";"101.7";"2807627815"
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях, за административные правонарушения в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, а также за административные правонарушения порядка ценообразования в части регулирования цен на этиловый спирт, алкогольную и спиртосодержащую продукцию";"01.10.2025";"0.1";"0.1";"105.4";"2807627816"
"Единый сельскохозяйственный налог";"01.10.2025";"0.1";"0.1";"107.1";"2807627817"
"Доходы в виде прибыли, приходящейся на доли в уставных (складочных) капиталах хозяйственных товариществ и обществ, или дивидендов по акциям, принадлежащим Российской Федерации, субъектам Российской Федерации или муниципальным образованиям";"01.10.2025";"2";"0.4";"17.8";"2807627818"
"Административные штрафы, установленные законами субъектов Российской Федерации об административных правонарушениях";"01.10.2025";"14.1";"14.1";"100.2";"2807627819"
"Налог, взимаемый в связи с применением патентной системы налогообложения";"01.10.2025";"11.4";"9.8";"86.5";"2807627820"
"Доходы от размещения средств бюджетов";"01.10.2025";"141.5";"184.2";"130.2";"2807627821"
"Штрафы, неустойки, пени, уплаченные в соответствии с законом или договором в случае неисполнения или ненадлежащего исполнения обязательств перед государственным (муниципальным) органом, органом управления государственным внебюджетным фондом, казенным учреждением, Центральным банком Российской Федерации, иной организацией, действующей от имени Российской Федерации";"01.10.2025";"4.1";"3";"72.9";"2807627822"
"Торговый сбор";"01.10.2025";"11.7";"12.6";"107";"2807627823"
"Платежи в целях возмещения причиненного ущерба (убытков)";"01.10.2025";"0.1";"0.1";"115.3";"2807627824"
"Доходы, получаемые в виде арендной либо иной платы за передачу в возмездное пользование государственного и муниципального имущества (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.10.2025";"135";"99.1";"73.4";"2807627825"
"Налог на профессиональный доход";"01.10.2025";"17.4";"15.3";"88";"2807627826"
"Платежи, уплачиваемые в целях возмещения вреда";"01.10.2025";"0.03";"0.03";"94.4";"2807627827"
"Налог, взимаемый в связи с применением специального налогового режима «Автоматизированная упрощенная система налогообложения»";"01.10.2025";"0.7";"0.8";"103.3";"2807627828"
"Плата по соглашениям об установлении сервитута в отношении земельных участков, находящихся в государственной или муниципальной собственности";"01.10.2025";"0.01";"0.02";"232.3";"2807627829"
"Доходы от сумм пеней, предусмотренных законодательством Российской Федерации о налогах и сборах, подлежащие зачислению в бюджеты субъектов Российской Федерации по нормативу, установленному Бюджетным кодексом Российской Федерации, распределяемые Федеральным казначейством между бюджетами субъектов Российской Федерации в соответствии с федеральным законом о федеральном бюджете";"01.10.2025";"16.1";"18.6";"115.8";"2807627830"
"НАЛОГИ НА ИМУЩЕСТВО";"01.10.2025";"307.7";"213";"69.2";"2807627831"
"Платежи от государственных и муниципальных унитарных предприятий";"01.10.2025";"0.1";"0.5";"464.5";"2807627832"
"ПРОЧИЕ НЕНАЛОГОВЫЕ ДОХОДЫ";"01.10.2025";"57.7";"40";"69.4";"2807627833"
"Налог на имущество физических лиц";"01.10.2025";"36.2";"9.1";"25.2";"2807627834"
"Средства, получаемые от передачи имущества, находящегося в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных), в залог, в доверительное управление";"01.10.2025";"0.1";"0.1";"190.9";"2807627835"
"Невыясненные поступления";"01.10.2025";"";"0.1";"";"2807627836"
"Прочие доходы от использования имущества и прав, находящихся в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.10.2025";"11.5";"10.7";"92.8";"2807627837"
"Налог на имущество организаций";"01.10.2025";"207.6";"161.4";"77.8";"2807627838"
"Прочие неналоговые доходы";"01.10.2025";"57.7";"39.9";"69.2";"2807627839"
"ПЛАТЕЖИ ПРИ ПОЛЬЗОВАНИИ ПРИРОДНЫМИ РЕСУРСАМИ";"01.10.2025";"0.2";"0.1";"77.6";"2807627840"
"Транспортный налог";"01.10.2025";"34.3";"14.3";"41.6";"2807627841"
"Прочие неналоговые доходы в части невыясненных поступлений, по которым не осуществлен возврат (уточнение) не позднее трех лет со дня их зачисления на единый счет соответствующего бюджета бюджетной системы Российской Федерации";"01.10.2025";"0.001";"5.0E-4";"77.3";"2807627842"
"Плата за негативное воздействие на окружающую среду";"01.10.2025";"0.2";"0.1";"74.1";"2807627843"
"Налог на игорный бизнес";"01.10.2025";"0.2";"0.6";"242.7";"2807627844"
"Безвозмездные поступления";"01.10.2025";"73.8";"99.2";"134.4";"2807627845"
"Платежи при пользовании недрами";"01.10.2025";"1.0E-4";"0.01";"6357.8";"2807627846"
"Земельный налог";"01.10.2025";"29.3";"27.6";"94";"2807627847"
"НАЛОГИ, СБОРЫ И РЕГУЛЯРНЫЕ ПЛАТЕЖИ ЗА ПОЛЬЗОВАНИЕ ПРИРОДНЫМИ РЕСУРСАМИ";"01.10.2025";"0.01";"0.1";"448.9";"2807627848"
"ДОХОДЫ ОТ ОКАЗАНИЯ ПЛАТНЫХ УСЛУГ И КОМПЕНСАЦИИ ЗАТРАТ ГОСУДАРСТВА";"01.10.2025";"15.4";"13.3";"86.7";"2807627849"
"Налог на добычу полезных ископаемых";"01.10.2025";"";"0.1";"";"2807627850"
"Доходы от оказания платных услуг (работ)";"01.10.2025";"1.6";"1.2";"78.5";"2807627851"
"Сборы за пользование объектами животного мира и за пользование объектами водных биологических ресурсов";"01.10.2025";"0.01";"0.004";"28.7";"2807627852"
"Доходы от компенсации затрат государства";"01.10.2025";"13.8";"12.1";"87.6";"2807627853"
"ГОСУДАРСТВЕННАЯ ПОШЛИНА";"01.10.2025";"5.9";"8.4";"142.2";"2807627854"
"ДОХОДЫ ОТ ПРОДАЖИ МАТЕРИАЛЬНЫХ И НЕМАТЕРИАЛЬНЫХ АКТИВОВ";"01.10.2025";"36.4";"30";"82.6";"2807627855"
"ДОХОДЫ ОТ ПРОДАЖИ МАТЕРИАЛЬНЫХ И НЕМАТЕРИАЛЬНЫХ АКТИВОВ";"01.01.2026";"36.4";"43.8";"120.5";"2846351692"
